seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
3,1.00E-06,deep,19818,3125,6401,32,0.561848346,0.684762069,0.617613761,0.598349019,0.010308776,0.615866003,0.011317931,0.504807872,0.010511482,0.616309358,0.614984679,0.47906465,0.20483971,0.328872464,0.240424667,0.287837566,0.166046435,0.36095985,0.251944139,0.278651808,0.192750252,0.499874818,0.072760221,0.498164229,0.028909424,0.412842453,0.081062192,0.494120347,0.470355763,0.378221883
3,1.00E-06,deep,19818,3125,6401,31,0.563450081,0.684332474,0.617639217,0.597438935,0.010800859,0.613522044,0.011816266,0.503880198,0.011024097,0.613745676,0.613052637,0.477031507,0.21118978,0.328139394,0.242053394,0.285709511,0.166659434,0.339535428,0.256576925,0.280467833,0.195036494,0.490359985,0.074981124,0.498208744,0.028771185,0.400044964,0.083071899,0.49610085,0.470739816,0.379892217
3,1.00E-05,deep,19818,3125,6401,6,0.535168992,0.704629243,0.617711241,0.635925914,0.006993669,0.663078051,0.003698127,0.53940636,0.007138765,0.647958665,0.648514718,0.506510223,0.172837441,0.366740748,0.20018813,0.40833587,0.13411163,0.39685632,0.20511082,0.228058664,0.154641091,0.519456167,0.037355936,0.478990192,0.036241979,0.434349009,0.034347475,0.472346377,0.442913112,0.357695452
3,0.0001,linear,19818,3125,6401,7,0.558881712,0.688045081,0.618275952,0.604947539,0.008220219,0.628213487,0.008726828,0.508571223,0.008463598,0.622683752,0.622761302,0.484704402,0.205759072,0.318802381,0.233515541,0.329136454,0.163392798,0.324981866,0.241821277,0.265211965,0.184091469,0.500845435,0.081425348,0.478912725,0.043620009,0.417384556,0.075181302,0.477162779,0.455035563,0.361647446
3,1.00E-06,deep,19818,3125,6401,24,0.575976251,0.680576851,0.61834184,0.584672112,0.013159183,0.594228277,0.01671078,0.489170481,0.014281547,0.598459956,0.595045025,0.464205627,0.233405755,0.279630035,0.247688034,0.24939607,0.180540539,0.293529048,0.275894101,0.290425007,0.209056673,0.489915853,0.076712072,0.498157073,0.030208748,0.400374531,0.084800329,0.489957402,0.469454131,0.37596485
3,0.001,linear,19818,3125,6401,1,0.58029409,0.697420957,0.618490126,0.617881713,0.008050019,0.640028609,0.007486312,0.519524004,0.008861372,0.628054984,0.630166954,0.489000537,0.176223435,0.385948455,0.215934258,0.329190262,0.142062839,0.412401067,0.205231825,0.246580288,0.15536864,0.486775868,0.091557964,0.478136434,0.044445605,0.405351874,0.085298956,0.460609019,0.444751192,0.349686922
3,0.0001,linear,19818,3125,6401,6,0.564597084,0.687332201,0.618736573,0.599542742,0.008399529,0.619202737,0.010482185,0.504302091,0.00879684,0.615613895,0.61480796,0.478392034,0.188807603,0.323504716,0.235267669,0.299379738,0.145383237,0.326930372,0.241395333,0.271274948,0.182517937,0.486956855,0.083293922,0.482393943,0.040401322,0.402919872,0.083280883,0.479418646,0.45626439,0.36399214
3,1.00E-05,linear,19818,3125,6401,44,0.57124446,0.683999125,0.619186236,0.582019837,0.014001208,0.602432551,0.01411206,0.487012982,0.015004672,0.602449803,0.600810848,0.467507182,0.214463206,0.283002475,0.245117621,0.267330781,0.161455223,0.298237613,0.255353209,0.283787,0.191405448,0.480648021,0.094197934,0.485469055,0.038114331,0.39609746,0.09908926,0.478566848,0.458260608,0.36557273
3,1.00E-06,deep,19818,3125,6401,48,0.542419777,0.694214787,0.619238716,0.622721838,0.006962951,0.645919612,0.005984367,0.525116853,0.007131932,0.639792863,0.638949864,0.499518156,0.158694086,0.420273008,0.223131161,0.352640768,0.12585207,0.459703323,0.23341451,0.253314514,0.176883195,0.501486353,0.062879726,0.490864267,0.030151544,0.416881945,0.059613336,0.481440455,0.461361256,0.364939399
3,1.00E-06,deep,19818,3125,6401,23,0.57827094,0.679518552,0.619441874,0.580758005,0.01381368,0.591261668,0.017616105,0.485464438,0.014590691,0.595517733,0.592177099,0.461623505,0.231261961,0.289868151,0.248629876,0.2455407,0.177491937,0.300435058,0.279421658,0.291827331,0.21229096,0.4930938,0.074435558,0.497756231,0.030276621,0.403915117,0.081937869,0.490236982,0.469050617,0.376164264
