preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
majority,1,1.00E-05,deep,627,150,186,0,0.693819818,0.695794511,0.693168124,0.001437462,0.421306271,-0.005212357,0.384889706,-0.001592675,0.420158685,0.053539577,0.036691573,0.039187837,-0.105969038,0.305791702,-0.093220165,0.316747519,-0.087636857,0.311817701,-0.178633936,-0.185851411,-0.132605671,-0.027844934,0.329377184,0.031068519,0.475107532,-0.011173907,0.311293165,0.044080359,0.047530341,0.033322711
majority,1,0.001,linear,627,150,186,6,0.560964297,0.619774699,0.669518451,0.53431853,0.045897173,0.566745657,0.030584696,0.445309988,0.0461784,0.586043143,0.583732278,0.454606998,0.389145421,0.145842246,0.42177643,0.074201951,0.31353046,0.144210279,0.404553828,0.394438624,0.306565779,0.235326562,0.237588896,0.263623072,0.220680192,0.195877319,0.248290309,0.241226213,0.227387316,0.187430362
majority,1,0.001,linear,627,150,186,7,0.554209596,0.620321178,0.672242691,0.538336967,0.044331083,0.577288501,0.02618509,0.446603564,0.045753526,0.593433523,0.591507205,0.460623438,0.383566717,0.181841749,0.423818236,0.074139989,0.304163404,0.185545627,0.403204537,0.3974328,0.3058717,0.238642881,0.200497831,0.265871942,0.236615132,0.197693992,0.195694709,0.245049671,0.229422177,0.192226082
majority,1,0.001,linear,627,150,186,9,0.543693465,0.621531737,0.672158788,0.559712161,0.037865133,0.595319588,0.018851477,0.468376274,0.037245244,0.603449316,0.603965701,0.468803216,0.402319517,0.149224224,0.423638209,0.079508391,0.329748262,0.14400076,0.395004371,0.396592459,0.300012929,0.248014605,0.253470239,0.269224877,0.249117921,0.210278314,0.261167738,0.244744624,0.233608437,0.192639676
majority,1,0.001,linear,627,150,186,13,0.526006359,0.622020161,0.679835876,0.587906348,0.027377539,0.619078041,0.011772167,0.494286909,0.026717597,0.618220435,0.619803965,0.4811165,0.410983386,0.152887987,0.426770059,0.076690877,0.336309133,0.148845422,0.408032189,0.402173775,0.311216622,0.229432232,0.262922939,0.251682386,0.28351768,0.195699203,0.260327708,0.233756075,0.218662318,0.184788924
majority,1,0.001,linear,627,150,186,11,0.533722207,0.622971773,0.676073958,0.561561733,0.037141856,0.60924965,0.014433747,0.470354961,0.034389557,0.612860511,0.613272262,0.476510194,0.411588314,0.143068882,0.42476476,0.079242184,0.339597331,0.138880214,0.402501571,0.399623714,0.305821602,0.229088507,0.289119682,0.260722776,0.286794942,0.193574703,0.294264356,0.236690018,0.227479944,0.18619311
majority,1,0.001,linear,627,150,186,12,0.530600142,0.623029828,0.675192942,0.57679201,0.027886995,0.615981213,0.012733643,0.485948319,0.027024155,0.615759517,0.6177346,0.479123555,0.427304706,0.143113724,0.424412794,0.082389425,0.350201506,0.139274847,0.401424499,0.39824809,0.305806179,0.230122614,0.255247169,0.261622718,0.299013242,0.194411589,0.252589327,0.2421319,0.228327396,0.19102559
majority,1,0.001,linear,627,150,186,5,0.569385268,0.624647343,0.670341402,0.520804746,0.055728123,0.553585763,0.037015965,0.432174451,0.056144768,0.575560501,0.572813911,0.445825891,0.410557408,0.085127358,0.420979089,0.071629415,0.329698569,0.085674369,0.40829243,0.395003821,0.309363693,0.2456278,0.179206329,0.262490899,0.202466523,0.20544071,0.181028218,0.24174624,0.223517907,0.187183285
majority,1,0.001,linear,627,150,186,21,0.506810841,0.624716997,0.699117651,0.610577469,0.021824983,0.646549893,0.00626346,0.515439708,0.020917948,0.630996943,0.635538985,0.491454459,0.384409202,0.172781149,0.424319749,0.083029908,0.310280614,0.173336136,0.402978645,0.40508873,0.306985569,0.213782449,0.262730162,0.229202571,0.219384088,0.182721327,0.259155577,0.210001526,0.194559818,0.159657994
majority,1,0.001,linear,627,150,186,17,0.514907931,0.625654662,0.690181126,0.601535799,0.023711903,0.635337906,0.008216176,0.508179145,0.022234971,0.625648144,0.629261174,0.487147419,0.389007742,0.173399169,0.425095507,0.08141563,0.315117691,0.174590458,0.39871958,0.402822435,0.304341535,0.230578311,0.259439323,0.238583734,0.244483467,0.197802843,0.258547343,0.216194151,0.204582831,0.168363191
